Velocity (m/s),Thrust(kgf)
0,5.527619776
2.165618937,5.490405541
4.331237875,5.452446077
6.496856812,5.412248204
8.662475749,5.372028042
10.82809469,5.329171826
12.99371362,5.285945735
15.15933256,5.241532417
17.3249515,5.195007623
19.49057044,5.148648594
21.65618937,5.098973608
23.82180831,5.049354628
25.98742725,4.997948385
28.15304619,4.944714731
30.31866512,4.891793464
32.48428406,4.83481039
34.649903,4.778544499
36.81552194,4.719842608
38.98114087,4.659778313
41.14675981,4.599871201
43.31237875,4.535372972
45.47799768,4.472290823
47.64361662,4.405967503
49.80923556,4.33917991
51.9748545,4.272044143
54.14047343,4.200745099
56.30609237,4.131143049
58.47171131,4.05728837
60.63733025,3.984470988
62.80294918,3.910577208
64.96856812,3.83315535
67.13418706,3.757753129
69.299806,3.677329572
71.46542493,3.599458126
73.63104387,3.520870137
75.79666281,3.440302801
77.96228175,3.357147628
80.12790068,3.273702737
82.29351962,3.190461491
84.45913856,3.103410365
86.62475749,3.018270631
88.79037643,2.929809318
90.95599537,2.842235493
93.12161431,2.754207514
95.28723324,2.662643284
97.45285218,2.573523871
99.61847112,2.480117326
101.7840901,2.389067507
103.949709,2.296725844
106.1153279,2.201746553
108.2809469,2.109240179
110.4465658,2.011459623
112.6121847,1.91751379
114.7778037,1.82136522
116.9434226,1.723628259
119.1090416,1.628412316
121.2746605,1.527574246
123.4402794,1.431299878
125.6058984,1.331855589
127.7715173,1.232222077
129.9371362,1.135100968
132.1027552,1.031872329
134.2683741,0.934243176
136.4339931,0.83239725
138.599612,0.732257256
140.7652309,0.634374081
142.9308499,0.536533231
145.0964688,0.436349279
147.2620877,0.329008286
149.4277067,0.22102274
151.5933256,0.115274058
153.7589446,0.01549101