Alpha,FZ Takeoff,FZ Cruise,CM ->,CM Takeoff M1,CM M1 Cruise,CM M2 Cruise,CM M2 Takeoff,CM M3 cruise,CM M3 takeoff,CD ->,CD cruise,CD Takeoff,CL ->,CL Takeoff,CL cruise,
-20,-3.828113,-496.9388,,0.39338,0.540342,0.263874,0.373108,0.263874,0.373108,,0.104207,0.12542,,-0.03280091,-1.031994,
-19.5,0.2607794,-482.3649,,0.379008,0.527022,0.258457,0.368152,0.258457,0.368152,,0.098587,0.124636,,0.002234469,-1.001729,
-19,4.359757,-467.6768,,0.364507,0.51355,0.252974,0.363117,0.252974,0.363117,,0.093089,0.124028,,0.03735627,-0.9712257,
-18.5,8.467942,-452.8771,,0.349881,0.499932,0.247427,0.358004,0.247427,0.358004,,0.087717,0.123597,,0.07255695,-0.9404913,
-18,12.58445,-437.9688,,0.335134,0.48617,0.241816,0.352815,0.241816,0.352815,,0.082477,0.123345,,0.1078289,-0.9095311,
-17.5,16.70838,-422.9547,,0.320272,0.472269,0.236145,0.347552,0.236145,0.347552,,0.077372,0.123275,,0.1431645,-0.8783513,
-17,20.83883,-407.8378,,0.305299,0.458235,0.230414,0.342216,0.230414,0.342216,,0.072406,0.123388,,0.178556,-0.8469579,
-16.5,24.97491,-392.6211,,0.290218,0.444069,0.224626,0.336808,0.224626,0.336808,,0.067585,0.123686,,0.2139957,-0.8153573,
-16,29.1157,-377.3076,,0.275036,0.429778,0.218782,0.331331,0.218782,0.331331,,0.062912,0.12417,,0.2494758,-0.7835558,
-15.5,33.26028,-361.9005,,0.259756,0.415366,0.212884,0.325785,0.212884,0.325785,,0.05839,0.124842,,0.2849883,-0.7515599,
-15,37.40774,-346.403,,0.244383,0.400836,0.206933,0.320174,0.206933,0.320174,,0.054024,0.125703,,0.3205255,-0.7193761,
-14.5,41.55715,-330.8182,,0.228921,0.386193,0.200932,0.314498,0.200932,0.314498,,0.049818,0.126754,,0.3560794,-0.6870112,
-14,45.70758,-315.1495,,0.213377,0.371442,0.194883,0.308759,0.194883,0.308759,,0.045775,0.127997,,0.3916421,-0.654472,
-13.5,49.8581,-299.4002,,0.197753,0.356588,0.188786,0.302959,0.188786,0.302959,,0.041898,0.12943,,0.4272055,-0.6217652,
-13,54.00778,-283.5735,,0.182056,0.341634,0.182645,0.297099,0.182645,0.297099,,0.038191,0.131057,,0.4627617,-0.588898,
-12.5,58.15568,-267.673,,0.166289,0.326585,0.176461,0.291182,0.176461,0.291182,,0.034657,0.132876,,0.4983027,-0.5558773,
-12,62.30087,-251.7021,,0.150458,0.311447,0.170235,0.28521,0.170235,0.28521,,0.031298,0.134888,,0.5338205,-0.5227104,
-11.5,66.44241,-235.6641,,0.134567,0.296222,0.16397,0.279183,0.16397,0.279183,,0.028119,0.137094,,0.569307,-0.4894044,
-11,70.57936,-219.5628,,0.118621,0.280917,0.157668,0.273104,0.157668,0.273104,,0.025121,0.139493,,0.6047542,-0.4559668,
-10.5,74.71079,-203.4016,,0.102626,0.265536,0.15133,0.266976,0.15133,0.266976,,0.022308,0.142086,,0.640154,-0.4224048,
-10,78.83575,-187.1842,,0.086585,0.250083,0.144959,0.260798,0.144959,0.260798,,0.019682,0.144871,,0.6754984,-0.3887259,
-9.5,82.95331,-170.914,,0.070504,0.234563,0.138556,0.254574,0.138556,0.254574,,0.017244,0.147849,,0.7107795,-0.3549377,
-9,87.06254,-154.5949,,0.054388,0.218982,0.132124,0.248306,0.132124,0.248306,,0.014998,0.151018,,0.7459891,-0.3210477,
-8.5,91.1625,-138.2305,,0.038242,0.203342,0.125663,0.241995,0.125663,0.241995,,0.012946,0.154379,,0.7811193,-0.2870637,
-8,95.25227,-121.8245,,0.02207,0.187651,0.119178,0.235643,0.119178,0.235643,,0.011089,0.15793,,0.8161622,-0.2529933,
-7.5,99.33091,-105.3806,,0.005878,0.171911,0.112668,0.229252,0.112668,0.229252,,0.009429,0.16167,,0.8511097,-0.2188442,
-7,103.3975,-88.90261,,-0.01033,0.156129,0.106137,0.222825,0.106137,0.222825,,0.007967,0.165598,,0.885954,-0.1846243,
-6.5,107.4511,-72.39429,,-0.02655,0.140308,0.099585,0.216362,0.099585,0.216362,,0.006706,0.169712,,0.9206872,-0.1503414,
-6,111.4909,-55.85944,,-0.04277,0.124454,0.093016,0.209867,0.093016,0.209867,,0.005647,0.174012,,0.9553014,-0.1160035,
-5.5,115.5158,-39.30187,,-0.059,0.108571,0.086432,0.203341,0.086432,0.203341,,0.00479,0.178494,,0.9897889,-0.08161831,
-5,119.5251,-22.7254,,-0.07522,0.092665,0.079833,0.196785,0.079833,0.196785,,0.004136,0.183159,,1.024142,-0.04719391,
-4.5,123.5177,-6.133887,,-0.09143,0.076739,0.073223,0.190203,0.073223,0.190203,,0.003687,0.188002,,1.058353,-0.01273826,
-4,127.4929,10.46883,,-0.10763,0.0608,0.066603,0.183595,0.066603,0.183595,,0.003444,0.193023,,1.092413,0.02174066,
-3.5,131.4497,27.0789,,-0.12381,0.044851,0.059976,0.176965,0.059976,0.176965,,0.003406,0.19822,,1.126317,0.05623483,
-3,135.3872,43.69245,,-0.13996,0.028899,0.053342,0.170314,0.053342,0.170314,,0.003574,0.203589,,1.160055,0.09073624,
-2.5,139.3046,60.30561,,-0.15609,0.012946,0.046705,0.163644,0.046705,0.163644,,0.003948,0.209128,,1.193621,0.1252368,
-2,143.201,76.91452,,-0.17218,-0.003,0.040066,0.156956,0.040066,0.156956,,0.004529,0.214834,,1.227008,0.1597286,
-1.5,147.0756,93.5153,,-0.18823,-0.01894,0.033428,0.150254,0.033428,0.150254,,0.005316,0.220706,,1.260207,0.1942035,
-1,150.9275,110.1041,,-0.20424,-0.03486,0.026792,0.14354,0.026792,0.14354,,0.006309,0.226739,,1.293211,0.2286535,
-0.5,154.7559,126.677,,-0.2202,-0.05076,0.020161,0.136814,0.020161,0.136814,,0.007508,0.232931,,1.326014,0.2630705,
0,158.5599,143.2302,,-0.23611,-0.06664,0.013535,0.13008,0.013535,0.13008,,0.008912,0.239278,,1.358609,0.2974466,
0.5,162.3388,159.7599,,-0.25196,-0.08248,0.006919,0.123339,0.006919,0.123339,,0.01052,0.245777,,1.390988,0.3317738,
1,166.0917,176.2621,,-0.26775,-0.0983,0.000312,0.116593,0.000312,0.116593,,0.012331,0.252425,,1.423144,0.3660441,
1.5,169.8178,192.7331,,-0.28347,-0.11407,-0.00628,0.109845,-0.00628,0.109845,,0.014345,0.259217,,1.455072,0.4002495,
2,173.5164,209.1691,,-0.29911,-0.1298,-0.01286,0.103096,-0.01286,0.103096,,0.01656,0.266151,,1.486763,0.4343821,
2.5,177.1868,225.5663,,-0.31468,-0.14548,-0.01942,0.096349,-0.01942,0.096349,,0.018975,0.273222,,1.518212,0.4684341,
3,180.828,241.9208,,-0.33017,-0.16111,-0.02597,0.089606,-0.02597,0.089606,,0.021589,0.280427,,1.549412,0.5023976,
3.5,184.4395,258.229,,-0.34557,-0.17667,-0.03249,0.082868,-0.03249,0.082868,,0.024399,0.28776,,1.580356,0.5362649,
4,188.0204,274.487,,-0.36088,-0.19218,-0.03899,0.076138,-0.03899,0.076138,,0.027403,0.295219,,1.611039,0.5700281,
4.5,191.5701,290.6913,,-0.37609,-0.20762,-0.04547,0.069417,-0.04547,0.069417,,0.030601,0.302799,,1.641454,0.6036795,
5,195.0878,306.8381,,-0.3912,-0.22298,-0.05192,0.062709,-0.05192,0.062709,,0.03399,0.310495,,1.671596,0.6372116,
5.5,198.5729,322.9237,,-0.40621,-0.23827,-0.05834,0.056014,-0.05834,0.056014,,0.037567,0.318302,,1.701458,0.6706167,
6,202.0247,338.9446,,-0.42111,-0.25347,-0.06473,0.049335,-0.06473,0.049335,,0.041331,0.326217,,1.731034,0.7038873,
6.5,205.4425,354.8971,,-0.43589,-0.26859,-0.07109,0.042674,-0.07109,0.042674,,0.045278,0.334234,,1.760319,0.7370159,
7,208.8257,370.7777,,-0.45055,-0.28362,-0.07742,0.036033,-0.07742,0.036033,,0.049406,0.342349,,1.789308,0.7699953,
7.5,212.1736,386.5829,,-0.46509,-0.29855,-0.08371,0.029414,-0.08371,0.029414,,0.053713,0.350557,,1.817995,0.8028179,
8,215.4858,402.3092,,-0.47951,-0.31338,-0.08996,0.022819,-0.08996,0.022819,,0.058195,0.358852,,1.846374,0.8354768,
8.5,218.7614,417.9532,,-0.49378,-0.32811,-0.09617,0.01625,-0.09617,0.01625,,0.062848,0.36723,,1.874442,0.8679646,
9,222.0001,433.5114,,-0.50793,-0.34273,-0.10234,0.009709,-0.10234,0.009709,,0.067671,0.375685,,1.902192,0.9002743,
9.5,225.2011,448.9804,,-0.52193,-0.35723,-0.10847,0.003198,-0.10847,0.003198,,0.07266,0.384213,,1.92962,0.932399,
10,228.3641,464.3571,,-0.53579,-0.37161,-0.11455,-0.00328,-0.11455,-0.00328,,0.07781,0.392807,,1.956721,0.9643318,
10.5,231.4883,479.6381,,-0.54949,-0.38588,-0.12058,-0.00973,-0.12058,-0.00973,,0.083119,0.401463,,1.983491,0.9960659,
11,234.5734,494.8202,,-0.56305,-0.40001,-0.12656,-0.01613,-0.12656,-0.01613,,0.088582,0.410175,,2.009926,1.027595,
11.5,237.6189,509.9003,,-0.57644,-0.41402,-0.13249,-0.02251,-0.13249,-0.02251,,0.094197,0.418937,,2.03602,1.058911,
12,240.6242,524.8751,,-0.58968,-0.42789,-0.13837,-0.02884,-0.13837,-0.02884,,0.099958,0.427745,,2.061771,1.09001,
12.5,243.5889,539.7418,,-0.60275,-0.44162,-0.1442,-0.03513,-0.1442,-0.03513,,0.105862,0.436591,,2.087174,1.120883,
13,246.5126,554.4972,,-0.61565,-0.4552,-0.14996,-0.04137,-0.14996,-0.04137,,0.111905,0.445471,,2.112226,1.151526,
13.5,249.3949,569.1384,,-0.62837,-0.46864,-0.15567,-0.04757,-0.15567,-0.04757,,0.118082,0.454379,,2.136922,1.181931,
14,252.2353,583.6626,,-0.64092,-0.48193,-0.16132,-0.05373,-0.16132,-0.05373,,0.124388,0.463309,,2.16126,1.212094,
14.5,255.0335,598.0668,,-0.65328,-0.49506,-0.16691,-0.05983,-0.16691,-0.05983,,0.13082,0.472256,,2.185236,1.242007,
15,257.7891,612.3484,,-0.66546,-0.50803,-0.17244,-0.06588,-0.17244,-0.06588,,0.137373,0.481212,,2.208847,1.271666,
15.5,260.5017,626.5046,,-0.67746,-0.52083,-0.1779,-0.07188,-0.1779,-0.07188,,0.144042,0.490173,,2.23209,1.301064,
16,263.1711,640.5328,,-0.68925,-0.53347,-0.18329,-0.07783,-0.18329,-0.07783,,0.150821,0.499133,,2.254963,1.330196,
16.5,265.797,654.4303,,-0.70086,-0.54593,-0.18861,-0.08372,-0.18861,-0.08372,,0.157707,0.508085,,2.277462,1.359057,
17,268.379,668.1948,,-0.71226,-0.55822,-0.19387,-0.08955,-0.19387,-0.08955,,0.164694,0.517024,,2.299586,1.387642,
17.5,270.9168,681.8237,,-0.72346,-0.57033,-0.19905,-0.09531,-0.19905,-0.09531,,0.171777,0.525944,,2.321331,1.415945,
18,273.4104,695.3146,,-0.73445,-0.58226,-0.20416,-0.10102,-0.20416,-0.10102,,0.17895,0.534838,,2.342697,1.443962,
18.5,275.8593,708.6653,,-0.74524,-0.594,-0.20919,-0.10667,-0.20919,-0.10667,,0.18621,0.543701,,2.36368,1.471687,
19,278.2634,721.8735,,-0.75581,-0.60555,-0.21415,-0.11224,-0.21415,-0.11224,,0.19355,0.552526,,2.38428,1.499117,
19.5,280.6226,734.9371,,-0.76616,-0.61691,-0.21903,-0.11776,-0.21903,-0.11776,,0.200964,0.561308,,2.404494,1.526246,
20,282.9366,747.8539,,-0.7763,-0.62807,-0.22384,-0.1232,-0.22384,-0.1232,,0.208448,0.570041,,2.424322,1.553071,
