Alpha,M1 Cruise, , Alpha,M1 Dynamic, , Alpha,M1 Takeoff, , Alpha,M2 Cruise, , Alpha,M2 Dynamic, , 
          -20,     -1.368618, ,     0.5892788,     0.1548437, ,           -20,     -0.400934, ,           -20,     -1.368618, ,      3.386098,     0.3704287, , 
        -19.5,     -1.335176, ,     0.5892788,     0.1548437, ,         -19.5,    -0.3643898, ,         -19.5,     -1.335176, ,      3.386098,     0.3704287, , 
          -19,     -1.301474, ,     0.5892788,     0.1548437, ,           -19,    -0.3277251, ,           -19,     -1.301474, ,      3.386098,     0.3704287, , 
        -18.5,     -1.267516, ,     0.5892788,     0.1548437, ,         -18.5,    -0.2909467, ,         -18.5,     -1.267516, ,      3.386098,     0.3704287, , 
          -18,     -1.233309, ,     0.5892788,     0.1548437, ,           -18,    -0.2540614, ,           -18,     -1.233309, ,      3.386098,     0.3704287, , 
        -17.5,     -1.198858, ,     0.5892788,     0.1548437, ,         -17.5,    -0.2170762, ,         -17.5,     -1.198858, ,      3.386098,     0.3704287, , 
          -17,     -1.164168, ,     0.5892788,     0.1548437, ,           -17,     -0.179998, ,           -17,     -1.164168, ,      3.386098,     0.3704287, , 
        -16.5,     -1.129245, , , , ,         -16.5,     -0.142834, ,         -16.5,     -1.129245, , , , , 
          -16,     -1.094096, , , , ,           -16,    -0.1055913, ,           -16,     -1.094096, , , , , 
        -15.5,     -1.058727, , , , ,         -15.5,   -0.06827696, ,         -15.5,     -1.058727, , , , , 
          -15,     -1.023144, , , , ,           -15,   -0.03089829, ,           -15,     -1.023144, , , , , 
        -14.5,    -0.9873533, , , , ,         -14.5,   0.006537484, ,         -14.5,    -0.9873533, , , , , 
          -14,    -0.9513612, , , , ,           -14,    0.04402305, ,           -14,    -0.9513612, , , , , 
        -13.5,    -0.9151744, , , , ,         -13.5,    0.08155106, ,         -13.5,    -0.9151744, , , , , 
          -13,    -0.8787996, , , , ,           -13,     0.1191141, ,           -13,    -0.8787996, , , , , 
        -12.5,    -0.8422435, , , , ,         -12.5,     0.1567049, ,         -12.5,    -0.8422435, , , , , 
          -12,     -0.805513, , , , ,           -12,     0.1943158, ,           -12,     -0.805513, , , , , 
        -11.5,    -0.7686151, , , , ,         -11.5,     0.2319396, ,         -11.5,    -0.7686151, , , , , 
          -11,    -0.7315566, , , , ,           -11,     0.2695686, ,           -11,    -0.7315566, , , , , 
        -10.5,    -0.6943448, , , , ,         -10.5,     0.3071954, ,         -10.5,    -0.6943448, , , , , 
          -10,    -0.6569868, , , , ,           -10,     0.3448125, ,           -10,    -0.6569868, , , , , 
         -9.5,    -0.6194899, , , , ,          -9.5,     0.3824123, ,          -9.5,    -0.6194899, , , , , 
           -9,    -0.5818613, , , , ,            -9,     0.4199874, ,            -9,    -0.5818613, , , , , 
         -8.5,    -0.5441086, , , , ,          -8.5,     0.4575303, ,          -8.5,    -0.5441086, , , , , 
           -8,    -0.5062391, , , , ,            -8,     0.4950333, ,            -8,    -0.5062391, , , , , 
         -7.5,    -0.4682605, , , , ,          -7.5,      0.532489, ,          -7.5,    -0.4682605, , , , , 
           -7,    -0.4301801, , , , ,            -7,     0.5698899, ,            -7,    -0.4301801, , , , , 
         -6.5,    -0.3920057, , , , ,          -6.5,     0.6072285, ,          -6.5,    -0.3920057, , , , , 
           -6,    -0.3537451, , , , ,            -6,     0.6444973, ,            -6,    -0.3537451, , , , , 
         -5.5,    -0.3154057, , , , ,          -5.5,     0.6816889, ,          -5.5,    -0.3154057, , , , , 
           -5,    -0.2769956, , , , ,            -5,     0.7187959, ,            -5,    -0.2769956, , , , , 
         -4.5,    -0.2385224, , , , ,          -4.5,     0.7558108, ,          -4.5,    -0.2385224, , , , , 
           -4,     -0.199994, , , , ,            -4,     0.7927263, ,            -4,     -0.199994, , , , , 
         -3.5,    -0.1614182, , , , ,          -3.5,     0.8295351, ,          -3.5,    -0.1614182, , , , , 
           -3,     -0.122803, , , , ,            -3,     0.8662298, ,            -3,     -0.122803, , , , , 
         -2.5,   -0.08415631, , , , ,          -2.5,     0.9028033, ,          -2.5,   -0.08415631, , , , , 
           -2,   -0.04548598, , , , ,            -2,     0.9392483, ,            -2,   -0.04548598, , , , , 
         -1.5,  -0.006799989, , , , ,          -1.5,     0.9755577, ,          -1.5,  -0.006799989, , , , , 
           -1,     0.0318937, , , , ,            -1,      1.011724, ,            -1,     0.0318937, , , , , 
         -0.5,    0.07058714, , , , ,          -0.5,      1.047741, ,          -0.5,    0.07058714, , , , , 
            0,     0.1092724, , , , ,             0,      1.083602, ,             0,     0.1092724, , , , , 
          0.5,     0.1479414, , , , ,           0.5,      1.119298, ,           0.5,     0.1479414, , , , , 
            1,     0.1865863, , , , ,             1,      1.154824, ,             1,     0.1865863, , , , , 
          1.5,     0.2251992, , , , ,           1.5,      1.190173, ,           1.5,     0.2251992, , , , , 
            2,      0.263772, , , , ,             2,      1.225338, ,             2,      0.263772, , , , , 
          2.5,     0.3022969, , , , ,           2.5,      1.260313, ,           2.5,     0.3022969, , , , , 
            3,     0.3407661, , , , ,             3,       1.29509, ,             3,     0.3407661, , , , , 
          3.5,     0.3791716, , , , ,           3.5,      1.329664, ,           3.5,     0.3791716, , , , , 
            4,     0.4175056, , , , ,             4,      1.364028, ,             4,     0.4175056, , , , , 
          4.5,     0.4557603, , , , ,           4.5,      1.398176, ,           4.5,     0.4557603, , , , , 
            5,     0.4939281, , , , ,             5,      1.432102, ,             5,     0.4939281, , , , , 
          5.5,      0.532001, , , , ,           5.5,      1.465799, ,           5.5,      0.532001, , , , , 
            6,     0.5699716, , , , ,             6,      1.499262, ,             6,     0.5699716, , , , , 
          6.5,     0.6078322, , , , ,           6.5,      1.532484, ,           6.5,     0.6078322, , , , , 
            7,     0.6455751, , , , ,             7,       1.56546, ,             7,     0.6455751, , , , , 
          7.5,      0.683193, , , , ,           7.5,      1.598185, ,           7.5,      0.683193, , , , , 
            8,     0.7206784, , , , ,             8,      1.630652, ,             8,     0.7206784, , , , , 
          8.5,     0.7580238, , , , ,           8.5,      1.662857, ,           8.5,     0.7580238, , , , , 
            9,     0.7952221, , , , ,             9,      1.694793, ,             9,     0.7952221, , , , , 
          9.5,     0.8322658, , , , ,           9.5,      1.726457, ,           9.5,     0.8322658, , , , , 
           10,      0.869148, , , , ,            10,      1.757842, ,            10,      0.869148, , , , , 
         10.5,     0.9058615, , , , ,          10.5,      1.788943, ,          10.5,     0.9058615, , , , , 
           11,     0.9423993, , , , ,            11,      1.819756, ,            11,     0.9423993, , , , , 
         11.5,     0.9787545, , , , ,          11.5,      1.850277, ,          11.5,     0.9787545, , , , , 
           12,       1.01492, , , , ,            12,        1.8805, ,            12,       1.01492, , , , , 
         12.5,       1.05089, , , , ,          12.5,      1.910421, ,          12.5,       1.05089, , , , , 
           13,      1.086657, , , , ,            13,      1.940035, ,            13,      1.086657, , , , , 
         13.5,      1.122214, , , , ,          13.5,      1.969339, ,          13.5,      1.122214, , , , , 
           14,      1.157556, , , , ,            14,      1.998329, ,            14,      1.157556, , , , , 
         14.5,      1.192676, , , , ,          14.5,         2.027, ,          14.5,      1.192676, , , , , 
           15,      1.227567, , , , ,            15,      2.055348, ,            15,      1.227567, , , , , 
         15.5,      1.262224, , , , ,          15.5,      2.083371, ,          15.5,      1.262224, , , , , 
           16,      1.296641, , , , ,            16,      2.111064, ,            16,      1.296641, , , , , 
         16.5,      1.330812, , , , ,          16.5,      2.138425, ,          16.5,      1.330812, , , , , 
           17,       1.36473, , , , ,            17,      2.165449, ,            17,       1.36473, , , , , 
         17.5,      1.398391, , , , ,          17.5,      2.192134, ,          17.5,      1.398391, , , , , 
           18,      1.431789, , , , ,            18,      2.218477, ,            18,      1.431789, , , , , 
         18.5,      1.464918, , , , ,          18.5,      2.244476, ,          18.5,      1.464918, , , , , 
           19,      1.497774, , , , ,            19,      2.270127, ,            19,      1.497774, , , , , 
         19.5,       1.53035, , , , ,          19.5,      2.295427, ,          19.5,       1.53035, , , , , 
           20,      1.562643, , , , ,            20,      2.320376, ,            20,      1.562643, , , , , 

