 Alpha,M3 takeoff, , Alpha,M3 cruise,,,,,,,,,, , 
-20,-0.5408364, ,-20,-1.41557,,,,,,,,,, , 
-19.5,-0.5043336, ,-19.5,-1.382325,,,,,,,,,, , 
-19,-0.4676113, ,-19,-1.348771,,,,,,,,,, , 
-18.5,-0.4306763, ,-18.5,-1.314911,,,,,,,,,, , 
-18,-0.3935356, ,-18,-1.280753,,,,,,,,,, , 
-17.5,-0.3561964, ,-17.5,-1.246303,,,,,,,,,, , 
-17,-0.3186662, ,-17,-1.211567,,,,,,,,,, , 
-16.5,-0.2809522, ,-16.5,-1.176552,,,,,,,,,, , 
-16,-0.2430622, ,-16,-1.141264,,,,,,,,,, , 
-15.5,-0.2050037, ,-15.5,-1.105711,,,,,,,,,, , 
-15,-0.1667847, ,-15,-1.069899,,,,,,,,,, , 
-14.5,-0.1284129, ,-14.5,-1.033837,,,,,,,,,, , 
-14,-0.08989648, ,-14,-0.9975297,,,,,,,,,, , 
-13.5,-0.05124352, ,-13.5,-0.9609863,,,,,,,,,, , 
-13,-0.01246225, ,-13,-0.924214,,,,,,,,,, , 
-12.5,0.02643899, ,-12.5,-0.8872205,,,,,,,,,, , 
-12,0.06545181, ,-12,-0.8500135,,,,,,,,,, , 
-11.5,0.1045677, ,-11.5,-0.812601,,,,,,,,,, , 
-11,0.1437781, ,-11,-0.7749911,,,,,,,,,, , 
-10.5,0.1830742, ,-10.5,-0.7371919,,,,,,,,,, , 
-10,0.2224475, ,-10,-0.6992117,,,,,,,,,, , 
-9.5,0.2618891, ,-9.5,-0.6610588,,,,,,,,,, , 
-9,0.3013901, ,-9,-0.6227417,,,,,,,,,, , 
-8.5,0.3409416, ,-8.5,-0.584269,,,,,,,,,, , 
-8,0.3805346, ,-8,-0.5456492,,,,,,,,,, , 
-7.5,0.4201601, ,-7.5,-0.5068911,,,,,,,,,, , 
-7,0.459809, ,-7,-0.4680035,,,,,,,,,, , 
-6.5,0.4994723, ,-6.5,-0.4289952,,,,,,,,,, , 
-6,0.5391407, ,-6,-0.3898752,,,,,,,,,, , 
-5.5,0.5788051, ,-5.5,-0.3506525,,,,,,,,,, , 
-5,0.6184563, ,-5,-0.3113361,,,,,,,,,, , 
-4.5,0.658085, ,-4.5,-0.2719351,,,,,,,,,, , 
-4,0.6976821, ,-4,-0.2324586,,,,,,,,,, , 
-3.5,0.7372383, ,-3.5,-0.1929159,,,,,,,,,, , 
-3,0.7767443, ,-3,-0.1533163,,,,,,,,,, , 
-2.5,0.8161908, ,-2.5,-0.1136688,,,,,,,,,, , 
-2,0.8555687, ,-2,-0.07398296,,,,,,,,,, , 
-1.5,0.8948687, ,-1.5,-0.03426796,,,,,,,,,, , 
-1,0.9340815, ,-1,0.005466817,,,,,,,,,, , 
-0.5,0.973198, ,-0.5,0.04521204,,,,,,,,,, , 
0,1.012209, ,0,0.08495834,,,,,,,,,, , 
0.5,1.051105, ,0.5,0.1246964,,,,,,,,,, , 
1,1.089878, ,1,0.1644167,,,,,,,,,, , 
1.5,1.128518, ,1.5,0.2041101,,,,,,,,,, , 
2,1.167015, ,2,0.2437672,,,,,,,,,, , 
2.5,1.205362, ,2.5,0.2833786,,,,,,,,,, , 
3,1.243549, ,3,0.322935,,,,,,,,,, , 
3.5,1.281568, ,3.5,0.3624272,,,,,,,,,, , 
4,1.319409, ,4,0.4018459,,,,,,,,,, , 
4.5,1.357063, ,4.5,0.441182,,,,,,,,,, , 
5,1.394523, ,5,0.4804262,,,,,,,,,, , 
5.5,1.43178, ,5.5,0.5195694,,,,,,,,,, , 
6,1.468824, ,6,0.5586026,,,,,,,,,, , 
6.5,1.505648, ,6.5,0.5975168,,,,,,,,,, , 
7,1.542243, ,7,0.636303,,,,,,,,,, , 
7.5,1.578601, ,7.5,0.6749524,,,,,,,,,, , 
8,1.614715, ,8,0.7134561,,,,,,,,,, , 
8.5,1.650575, ,8.5,0.7518053,,,,,,,,,, , 
9,1.686174, ,9,0.7899915,,,,,,,,,, , 
9.5,1.721504, ,9.5,0.8280061,,,,,,,,,, , 
10,1.756558, ,10,0.8658406,,,,,,,,,, , 
10.5,1.791327, ,10.5,0.9034866,,,,,,,,,, , 
11,1.825806, ,11,0.9409359,,,,,,,,,, , 
11.5,1.859985, ,11.5,0.9781801,,,,,,,,,, , 
12,1.893858, ,12,1.015211,,,,,,,,,, , 
12.5,1.927418, ,12.5,1.052022,,,,,,,,,, , 
13,1.960658, ,13,1.088603,,,,,,,,,, , 
13.5,1.993571, ,13.5,1.124948,,,,,,,,,, , 
14,2.026151, ,14,1.161048,,,,,,,,,, , 
14.5,2.058391, ,14.5,1.196897,,,,,,,,,, , 
15,2.090285, ,15,1.232487,,,,,,,,,, , 
15.5,2.121827, ,15.5,1.267811,,,,,,,,,, , 
16,2.15301, ,16,1.302861,,,,,,,,,, , 
16.5,2.183829, ,16.5,1.337632,,,,,,,,,, , 
17,2.214278, ,17,1.372115,,,,,,,,,, , 
17.5,2.244352, ,17.5,1.406304,,,,,,,,,, , 
18,2.274046, ,18,1.440193,,,,,,,,,, , 
18.5,2.303353, ,18.5,1.473776,,,,,,,,,, , 
19,2.33227, ,19,1.507046,,,,,,,,,, , 
19.5,2.36079, ,19.5,1.539998,,,,,,,,,, , 
20,2.388911, ,20,1.572625,,,,,,,,,, , 